TH1.Print Name  = MVA_BDT_1test_reg_tgt0_rtgt0, Entries= 14066, Total sum= 14066
 fSumw[51][6]=0, x=3.57452, y=-1.78726
 fSumw[0][7]=0, x=-0.0971498, y=-1.69283
 fSumw[1][7]=0, x=-0.0251563, y=-1.69283
 fSumw[2][7]=0, x=0.0468372, y=-1.69283
 fSumw[3][7]=0, x=0.118831, y=-1.69283
 fSumw[4][7]=0, x=0.190824, y=-1.69283
 fSumw[5][7]=0, x=0.262818, y=-1.69283
 fSumw[6][7]=0, x=0.334811, y=-1.69283
 fSumw[7][7]=0, x=0.406805, y=-1.69283
 fSumw[8][7]=0, x=0.478798, y=-1.69283
 fSumw[9][7]=0, x=0.550792, y=-1.69283
 fSumw[10][7]=0, x=0.622785, y=-1.69283
 fSumw[11][7]=0, x=0.694779, y=-1.69283
 fSumw[12][7]=0, x=0.766772, y=-1.69283
 fSumw[13][7]=0, x=0.838766, y=-1.69283
 fSumw[14][7]=0, x=0.910759, y=-1.69283
 fSumw[15][7]=0, x=0.982752, y=-1.69283
 fSumw[16][7]=0, x=1.05475, y=-1.69283
 fSumw[17][7]=0, x=1.12674, y=-1.69283
 fSumw[18][7]=0, x=1.19873, y=-1.69283
 fSumw[19][7]=0, x=1.27073, y=-1.69283
 fSumw[20][7]=0, x=1.34272, y=-1.69283
 fSumw[21][7]=0, x=1.41471, y=-1.69283
 fSumw[22][7]=0, x=1.48671, y=-1.69283
 fSumw[23][7]=0, x=1.5587, y=-1.69283
 fSumw[24][7]=0, x=1.63069, y=-1.69283
 fSumw[25][7]=0, x=1.70269, y=-1.69283
 fSumw[26][7]=0, x=1.77468, y=-1.69283
 fSumw[27][7]=0, x=1.84667, y=-1.69283
 fSumw[28][7]=0, x=1.91867, y=-1.69283
 fSumw[29][7]=0, x=1.99066, y=-1.69283
 fSumw[30][7]=0, x=2.06265, y=-1.69283
 fSumw[31][7]=0, x=2.13465, y=-1.69283
 fSumw[32][7]=0, x=2.20664, y=-1.69283
 fSumw[33][7]=0, x=2.27864, y=-1.69283
 fSumw[34][7]=0, x=2.35063, y=-1.69283
 fSumw[35][7]=0, x=2.42262, y=-1.69283
 fSumw[36][7]=0, x=2.49462, y=-1.69283
 fSumw[37][7]=0, x=2.56661, y=-1.69283
 fSumw[38][7]=0, x=2.6386, y=-1.69283
 fSumw[39][7]=0, x=2.7106, y=-1.69283
 fSumw[40][7]=0, x=2.78259, y=-1.69283
 fSumw[41][7]=1, x=2.85458, y=-1.69283
 fSumw[42][7]=0, x=2.92658, y=-1.69283
 fSumw[43][7]=0, x=2.99857, y=-1.69283
 fSumw[44][7]=0, x=3.07056, y=-1.69283
 fSumw[45][7]=0, x=3.14256, y=-1.69283
 fSumw[46][7]=0, x=3.21455, y=-1.69283
 fSumw[47][7]=0, x=3.28654, y=-1.69283
 fSumw[48][7]=0, x=3.35854, y=-1.69283
 fSumw[49][7]=0, x=3.43053, y=-1.69283
 fSumw[50][7]=0, x=3.50252, y=-1.69283
 fSumw[51][7]=0, x=3.57452, y=-1.69283
 fSumw[0][8]=0, x=-0.0971498, y=-1.5984
 fSumw[1][8]=0, x=-0.0251563, y=-1.5984
 fSumw[2][8]=0, x=0.0468372, y=-1.5984
 fSumw[3][8]=0, x=0.118831, y=-1.5984
 fSumw[4][8]=0, x=0.190824, y=-1.5984
 fSumw[5][8]=0, x=0.262818, y=-1.5984
 fSumw[6][8]=0, x=0.334811, y=-1.5984
 fSumw[7][8]=0, x=0.406805, y=-1.5984
 fSumw[8][8]=0, x=0.478798, y=-1.5984
 fSumw[9][8]=0, x=0.550792, y=-1.5984
 fSumw[10][8]=0, x=0.622785, y=-1.5984
 fSumw[11][8]=0, x=0.694779, y=-1.5984
 fSumw[12][8]=0, x=0.766772, y=-1.5984
 fSumw[13][8]=0, x=0.838766, y=-1.5984
 fSumw[14][8]=0, x=0.910759, y=-1.5984
 fSumw[15][8]=0, x=0.982752, y=-1.5984
 fSumw[16][8]=0, x=1.05475, y=-1.5984
 fSumw[17][8]=0, x=1.12674, y=-1.5984
 fSumw[18][8]=0, x=1.19873, y=-1.5984
 fSumw[19][8]=0, x=1.27073, y=-1.5984
 fSumw[20][8]=0, x=1.34272, y=-1.5984
 fSumw[21][8]=0, x=1.41471, y=-1.5984
 fSumw[22][8]=0, x=1.48671, y=-1.5984
 fSumw[23][8]=0, x=1.5587, y=-1.5984
 fSumw[24][8]=0, x=1.63069, y=-1.5984
 fSumw[25][8]=0, x=1.70269, y=-1.5984
